,name,price,img
0,Apple iPhone 11 (64GB) - Black,"47,900",https://m.media-amazon.com/images/I/71i2XhHU3pL._AC_UY218_.jpg
1,Apple iPhone XR (64GB) - Black,"33,999",https://m.media-amazon.com/images/I/519KIlHA2wL._AC_UY218_.jpg
2,Apple AirPods Pro,"20,900",https://m.media-amazon.com/images/I/71zny7BTRlL._AC_UY218_.jpg
3,Apple iPhone XR (128GB) - White,"38,999",https://m.media-amazon.com/images/I/51PuFBgBK4L._AC_UY218_.jpg
4,Apple iPhone XR (64GB) - White,"33,999",https://m.media-amazon.com/images/I/51PuFBgBK4L._AC_UY218_.jpg
5,Apple iPhone XR (64GB) - Black,"33,999",https://m.media-amazon.com/images/I/519KIlHA2wL._AC_UY218_.jpg
6,Apple EarPods with 3.5mm Headphone Plug,"1,900",https://m.media-amazon.com/images/I/410eivKV4DL._AC_UY218_.jpg
7,"New Apple Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Black Sport Band","32,900",https://m.media-amazon.com/images/I/71rhrO49SmL._AC_UY218_.jpg
8,"2020 Apple iPad Air with A14 Bionic chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Sky Blue (4th Generation)","50,900",https://m.media-amazon.com/images/I/71dwvdUu72L._AC_UY218_.jpg
9,"New Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band","29,900",https://m.media-amazon.com/images/I/71bUKrOPzYL._AC_UY218_.jpg
10,"2020 Apple MacBook Pro (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 8‑core GPU, 8GB RAM, 256GB SSD) - Space Grey","1,13,290",https://m.media-amazon.com/images/I/71an9eiBxpL._AC_UY218_.jpg
11,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","1,899",https://m.media-amazon.com/images/I/61vtLhO6fDL._AC_UY218_.jpg
12,"2020 Apple MacBook Air (13.3-inch/33.78 cm, Apple M1 chip with 8‑core CPU and 7‑core GPU, 8GB RAM, 256GB SSD) - Gold","87,900",https://m.media-amazon.com/images/I/71vFKBpKakL._AC_UY218_.jpg
13,New Apple AirPods Pro with MagSafe Charging Case,"24,900",https://m.media-amazon.com/images/I/71bhWgQK-cL._AC_UY218_.jpg
14,"Apple MagSafe Charger (for iPhone, AirPods Pro, AirPods with Wireless Charging Case)","4,500",https://m.media-amazon.com/images/I/91Rh8F1g3kL._AC_UY218_.jpg
15,"Apple Magic Mouse (for Bluetooth-Enabled Mac with OS X 10.11 or Later, iPad with iPadOS 13.4 or Later)","7,532",https://m.media-amazon.com/images/I/61BZ5N9n4IL._AC_UY218_.jpg
16,New Apple AirTag,"3,190",https://m.media-amazon.com/images/I/71L5lSfJIPS._AC_UY218_.jpg
17,2021 Apple TV 4K (64GB) 2nd Generation,"20,408",https://m.media-amazon.com/images/I/815g8Uo656S._AC_UY218_.jpg
